ksec_since_2459583.86275419_B	rel_flux_T1_d(mag)	_d(mag)
3.920056000	0.002902363	0.001304804
3.947055000	-0.002071383	0.001303223
3.974059000	-0.005674398	0.001356220
4.001048000	-0.005852228	0.001351408
4.028063000	-0.005799139	0.001346308
4.055055000	0.000760575	0.001338286
4.082056000	-0.004990303	0.001335246
4.109062000	-0.002221167	0.001329379
4.136055000	-0.002605700	0.001322279
4.163060000	-0.000402042	0.001319682
4.190064000	0.001533208	0.001312332
4.217061000	0.011590046	0.001305359
4.244054000	-0.000086349	0.001360281
4.271057000	-0.001100657	0.001353994
4.298066000	0.002502443	0.001347058
4.325059000	0.005787723	0.001340545
4.352061000	0.004803140	0.001336778
4.379062000	0.005123033	0.001331403
4.406055000	0.003246611	0.001323636
4.433068000	0.008725010	0.001319592
4.460056000	0.007235651	0.001316431
4.487060000	-0.001228641	0.001308966
4.514054000	-0.000787727	0.001372251
4.541069000	-0.008896570	0.001367216
4.568060000	0.004658627	0.001363039
4.595058000	0.002702073	0.001355424
4.622058000	-0.006006595	0.001348492
4.649059000	-0.001236481	0.001342678
4.676057000	0.001439127	0.001336924
4.703065000	-0.001303688	0.001332743
4.730060000	-0.007216170	0.001327283
4.757060000	-0.005619091	0.001322865
4.784070000	0.001959234	0.001318852
4.811060000	-0.002514366	0.001378047
4.838063000	-0.007782784	0.001372008
4.865065000	-0.006680808	0.001365587
4.892066000	-0.001923691	0.001357166
4.919060000	-0.006947413	0.001353291
4.946071000	-0.001698889	0.001349423
4.973066000	-0.004116590	0.001342291
5.000059000	-0.003396975	0.001338944
5.027071000	-0.000807240	0.001333304
5.054071000	-0.001604207	0.001329275
5.081066000	-0.001365155	0.001380170
5.108062000	-0.004996310	0.001390023
5.135073000	-0.007270609	0.001385338
5.162065000	0.005592500	0.001374216
5.189067000	0.001342871	0.001366967
5.216067000	0.000552769	0.001357866
5.243079000	0.000286388	0.001350652
5.270086000	-0.000056289	0.001348633
5.297072000	-0.001102037	0.001342374
5.324078000	0.000077520	0.001338473
5.351066000	0.000339397	0.001333154
5.378068000	-0.012823554	0.001403771
5.405071000	-0.004705945	0.001396000
5.432077000	0.000821660	0.001389030
5.459071000	-0.003789277	0.001384802
5.486067000	-0.003439327	0.001379348
5.513077000	0.005423746	0.001370797
5.540066000	0.001134767	0.001363577
5.567065000	0.003432542	0.001358265
5.594069000	0.004127157	0.001354967
