Kilo_Seconds_B	rel_flux_T1(mag)	rel_flux_err_T1(mag)
15.779405	-0.010479	0.001682
15.811373	0.000496	0.001677
15.843427	-0.003368	0.00168
15.875395	-0.002795	0.001682
15.907363	-0.009476	0.001691
15.939418	-0.006053	0.001697
15.972422	-0.004466	0.001692
16.00439	-0.004375	0.00168
16.036358	-0.001463	0.001673
16.068413	-0.00627	0.001675
16.100381	-0.007763	0.001678
16.132349	-0.005017	0.001677
16.164403	-0.001767	0.001674
16.196371	0.005525	0.001673
16.228339	0.000739	0.001674
16.260394	0.003433	0.001677
16.292362	-0.002907	0.001675
16.324416	0.000211	0.001681
16.356384	-0.001797	0.001677
16.388352	-0.004885	0.001681
16.420406	-0.005111	0.001677
16.452374	-0.006118	0.00168
16.484342	-0.003634	0.001682
16.516397	0.000526	0.00168
16.548365	-0.000665	0.001682
16.580333	-0.005412	0.001678
16.612387	0.005187	0.001682
16.644355	0.00069	0.001683
16.676323	-0.00022	0.001681
16.708378	0.000538	0.001685
16.740346	-0.001054	0.001684
16.772314	-0.009443	0.001685
16.804368	-0.009161	0.001685
16.836336	-0.015187	0.001688
16.86839	-0.002508	0.001697
16.900358	-0.001538	0.001696
16.932326	-0.003093	0.001692
16.964381	0.000417	0.001687
16.996349	-0.002525	0.001707
17.028317	-0.002228	0.001701
17.060371	0.004508	0.001704
17.092339	-0.004919	0.001713
17.124307	-0.008916	0.001713
17.156362	-0.007823	0.001708
17.18833	-0.005979	0.001707
17.220384	-0.00862	0.001697
17.252352	-0.010699	0.001704
17.28432	-0.007763	0.001706
17.316374	0.001113	0.0017
17.348342	0.008959	0.001709
17.38031	0.006504	0.001705
17.412365	-0.001446	0.001717
17.444333	-0.001199	0.001717
17.476301	0.001078	0.001708
17.508355	-0.001869	0.001705
17.54136	-0.005631	0.001713
17.573328	-0.004328	0.001698
17.605296	-0.007505	0.001696
17.63735	-0.00362	0.001706
17.669318	-0.003831	0.001716
17.701286	-0.009669	0.001701
17.733341	0.000144	0.001708
17.765309	-0.00355	0.001709
17.797277	-0.00954	0.001715
17.829331	-0.004117	0.001707
17.861299	-0.007189	0.001719
17.893354	0.000056	0.001717
17.925322	-0.003199	0.001717
17.95729	-0.007896	0.001721
17.989344	-0.001514	0.001705
18.021312	-0.004978	0.001704
18.05328	-0.00355	0.001705
18.085334	0.004498	0.001705
18.117302	-0.00888	0.00172
18.14927	-0.001455	0.001719
18.181325	0.010006	0.001692
18.213293	0.01589	0.001691
18.245347	0.008025	0.001691
18.277315	0.007544	0.001691
18.309283	0.005596	0.0017
18.341338	0.008202	0.001698
18.373306	-0.001838	0.001699
18.405274	-0.000569	0.001699
18.437328	0.008711	0.001697
18.469296	0.008468	0.001699
18.501264	0.020247	0.001699
18.533318	0.006704	0.001697
18.565286	0.01294	0.001706
18.597254	0.014947	0.001703
18.629309	0.010501	0.001701
18.661277	0.016948	0.001704
18.693245	0.010453	0.001707
18.725299	0.006926	0.001703
18.757267	0.007753	0.001706
18.789235	0.006059	0.001703
18.82129	0.011664	0.001705
18.853258	0.007654	0.001702
18.885312	0.012504	0.001705
18.91728	0.013717	0.001704
18.949248	0.012141	0.001706
18.981302	0.009976	0.001708
19.01327	0.012518	0.001711
19.045238	0.007462	0.001711
19.077293	0.00955	0.001709
19.109261	0.009312	0.001716
19.141229	-0.003455	0.001874
19.173283	0.002009	0.001913
19.205251	0.00265	0.001901
19.237219	0.005332	0.001872
19.269274	0.009193	0.001907
19.301242	0.015552	0.001869
19.333296	0.006297	0.001892
19.365264	0.009266	0.001915
19.397232	0.00167	0.001793
19.429286	0.001533	0.001788
19.461254	0.007542	0.001799
19.493222	-0.0001	0.001792
19.525277	0.002161	0.001798
19.557245	0.001793	0.001805
19.59025	0.00514	0.001789
19.622218	0.00244	0.001766
19.654272	0.00602	0.001752
19.68624	0.015498	0.001725
19.718208	0.008253	0.001722
19.750262	0.012477	0.001723
19.78223	0.002726	0.00173
19.814285	0.012268	0.00173
19.846253	0.008373	0.001727
19.875283	0.010159	0.001722
19.907251	0.001592	0.001726
19.939219	0.008706	0.001731
19.971274	0.012833	0.001729
20.003242	0.015853	0.001728
20.03521	0.017921	0.001731
20.067264	-0.003204	0.00178
20.099232	-0.012163	0.00178
20.1312	-0.006701	0.001793
20.163254	-0.005003	0.001784
20.195222	-0.004719	0.001799
20.22719	-0.003666	0.001803
20.259245	-0.013086	0.001806
20.291213	-0.010544	0.001828
20.323181	-0.014085	0.00184
20.355235	-0.015738	0.00182
20.387203	-0.006644	0.001834
20.419258	-0.004937	0.001811
20.451226	-0.007657	0.001816
20.483194	-0.007392	0.001808
20.515248	0.001456	0.001808
20.547216	-0.003996	0.001801
20.580221	0.00207	0.001796
20.612189	-0.00394	0.001801
20.644243	-0.002401	0.001815
20.676211	-0.006209	0.001822
20.708179	-0.015448	0.001854
