Kilo-Sec_B	rel_flux_T1_d(mag)	rel_flux_err_T1_d(mag)
16.306877	0.072787	0.000558
16.33392	0.075171	0.000557
16.360877	0.109725	0.000564
16.38792	0.126004	0.000567
16.414877	0.079936	0.000557
16.44192	0.016583	0.000557
16.468877	0.119146	0.000565
16.49592	0.07131	0.000555
16.522877	0.117398	0.000569
16.54992	0.102183	0.000557
16.576877	0.115633	0.000566
16.60392	0.098519	0.000558
16.630877	0.107398	0.000562
16.65792	0.128379	0.00056
16.684877	0.114208	0.000571
16.711834	0.07839	0.000558
16.738877	0.08748	0.000555
16.76592	0.107711	0.000554
16.792877	0.09233	0.00056
16.819834	0.094424	0.000552
16.846877	0.119089	0.000566
16.873834	0.110737	0.000565
16.900877	0.058969	0.000559
16.927834	0.115795	0.000569
16.954877	0.132665	0.000587
16.981834	0.095764	0.000563
17.008877	0.113607	0.000563
17.035834	0.103667	0.000563
17.062877	0.136834	0.000572
17.089834	0.073668	0.000556
17.116877	0.079671	0.00056
17.143834	0.051403	0.000554
17.170877	0.086372	0.000559
17.197834	0.096741	0.000556
17.224877	0.065767	0.000557
17.251834	0.095341	0.000555
17.27879	0.090212	0.000559
17.305834	0.095736	0.000561
17.332877	0.103953	0.000561
17.359834	0.096365	0.000564
17.386877	0.103035	0.000562
17.413834	0.089479	0.000555
17.44079	0.097705	0.000555
17.467834	0.079994	0.000556
17.49479	0.030441	0.000554
17.521834	0.070388	0.000558
17.54879	0.073082	0.000555
17.575834	0.092433	0.000558
17.60279	0.048108	0.000557
17.629834	0.013299	0.000556
17.65679	0.021894	0.000555
17.683834	0.08002	0.00056
17.71079	0.092121	0.000558
17.737834	0.104035	0.000567
17.76479	0.094226	0.000561
17.791834	0.093953	0.000568
17.81879	0.070176	0.000555
17.845834	0.038187	0.000557
17.87279	0.068692	0.000558
17.899834	0.00606	0.000558
17.92679	0.060115	0.00056
17.953834	0.098938	0.00056
17.98079	0.063509	0.000561
18.007747	0.046808	0.000558
18.03479	0.072935	0.000557
18.061747	0.072927	0.000557
18.08879	0.082318	0.000553
18.115747	0.056103	0.00056
18.14279	0.024764	0.000555
18.169747	0.076387	0.000559
18.19679	0.079253	0.000561
18.223747	0.058614	0.000559
18.25079	0.091719	0.000555
18.277747	0.026869	0.000557
18.30479	0.021466	0.000554
18.331747	0.038923	0.000556
18.35879	0.021812	0.000557
18.385747	0.069673	0.00056
18.41279	0.028843	0.000558
18.439747	0.016257	0.00056
18.46679	0.036065	0.000557
18.493747	0.030056	0.000558
18.52079	0.036857	0.000559
18.547747	0.023929	0.000555
18.57479	-0.018686	0.00056
18.601747	0.080084	0.000555
18.628704	0.113329	0.000574
18.655747	0.050719	0.000559
18.682704	0.009656	0.00056
18.709747	0.02262	0.000557
18.736704	0.072412	0.00056
18.763747	0.069836	0.000561
18.790704	-0.015847	0.000558
18.817747	0.002578	0.000559
18.844704	0.040602	0.000558
18.871747	0.020421	0.000556
18.898704	0.01781	0.000557
18.925747	-0.024288	0.000558
18.952704	-0.033027	0.000558
18.979747	-0.077103	0.00056
19.006704	-0.061854	0.000561
19.033747	0.003364	0.000555
19.060704	-0.050798	0.00056
19.087747	-0.068716	0.000561
19.114704	-0.0583	0.00056
19.141747	-0.029259	0.000559
19.168704	-0.049511	0.000559
19.195747	-0.085141	0.000561
19.222704	-0.07713	0.000561
19.249747	-0.09281	0.000561
19.276704	-0.005435	0.000557
19.303747	-0.043794	0.000559
19.330704	-0.022496	0.000559
19.357747	-0.037565	0.00056
19.384704	-0.000735	0.000557
19.411661	-0.076171	0.000562
19.438704	-0.039546	0.000561
19.465661	0.029434	0.00056
19.492704	-0.065833	0.000562
19.519661	-0.101014	0.000565
19.546704	-0.033758	0.000561
19.573661	-0.042695	0.00056
19.600704	0.045798	0.00056
19.627661	0.01281	0.000562
19.654704	-0.070676	0.000563
19.681661	-0.061857	0.000562
19.708704	-0.013879	0.00056
19.735661	0.022387	0.000559
19.762704	-0.016282	0.000559
19.789661	-0.069745	0.000563
19.816618	-0.027616	0.000561
19.843661	-0.011554	0.00056
19.870618	-0.013321	0.00056
19.897661	-0.058962	0.000564
19.924618	-0.038409	0.000562
19.951661	-0.0773	0.000564
19.978618	-0.094118	0.000564
20.005661	0.014116	0.000559
20.032618	0.013908	0.00056
20.059661	0.028768	0.00057
20.086618	0.039807	0.000564
20.113661	-0.028636	0.000563
20.140618	-0.040647	0.000564
20.167661	-0.022544	0.000567
20.194618	-0.031245	0.000562
20.221661	0.00742	0.00056
20.248618	0.005037	0.000561
20.275661	0.044677	0.000563
20.302618	0.01458	0.00056
20.329661	0.025175	0.000561
20.356618	-0.045451	0.000563
20.383661	0.00957	0.000561
20.410618	-0.005647	0.000564
20.437661	-0.03255	0.000562
20.464618	0.023731	0.00056
20.491574	-0.006507	0.000563
20.518618	0.039991	0.000563
20.545661	-0.020099	0.000562
20.572618	0.00131	0.000563
20.599574	0.02424	0.000562
20.626618	-0.027483	0.000563
20.653574	-0.033079	0.000564
20.680618	0.040221	0.000565
20.707574	0.055254	0.00057
20.734618	0.01169	0.000564
20.761574	0.022932	0.000563
20.788618	0.016281	0.000565
20.815574	-0.006823	0.000566
20.842618	0.04219	0.000569
20.869574	0.022965	0.000566
20.896618	0.049465	0.000575
20.923574	0.020713	0.000568
20.950618	-0.000341	0.000565
20.977574	-0.011805	0.000565
21.004618	-0.040981	0.000564
21.031574	0.028287	0.000562
21.058618	0.022562	0.000563
21.085574	0.046973	0.000571
21.112618	0.026908	0.000565
21.139574	0.030664	0.000576
21.166618	0.060453	0.000574
21.193574	0.05442	0.000568
21.220531	0.054195	0.000571
21.247574	0.044414	0.000569
